,occupation_field,occupation_name,non-college count,wage/salary
187,EAT,Cooks,4443,12733.46
188,EAT,Food Preparation Workers,1738,10213.63
189,EAT,Bartenders,615,18839.92
190,EAT,"Combined Food Preparation And Serving Workers,",959,11053.07
191,EAT,"Counter Attendants, Cafeteria, Food Concession, And",395,5341.47
192,EAT,Waiters And Waitresses,3987,12900.79
193,EAT,"Food Servers, Nonrestaurant",426,13611.71
194,EAT,Miscellaneous Food Preparation And Serving Related,859,8980.37
195,EAT,Dishwashers,816,7599.93
196,EAT,"Hosts And Hostesses, Restaurant, Lounge, And Coffee",816,6054.2
197,CLN,First,471,23650.06
198,CLN,First,354,26033.33
199,CLN,Janitors And Building Cleaners,5314,15290.92
200,CLN,Maids And Housekeeping Cleaners,4288,9263.17
201,CLN,Pest Control Workers,246,26257.72
202,CLN,Grounds Maintenance Workers,3743,13088.34
203,PRS,First,28,37975.0
204,PRS,First,106,18558.96
205,PRS,Animal Trainers,90,16466.33
206,PRS,Nonfarm Animal Caretakers,508,11680.89
207,PRS,Gaming Services Workers,100,32349.0
208,PRS,Motion Picture Projectionists,5,4000.0
209,PRS,"Ushers, Lobby Attendants, And Ticket Takers",104,4108.08
210,PRS,Miscellaneous Entertainment Attendants And Related,526,10451.94
211,PRS,Embalmers And Funeral Attendants,29,9004.14
212,PRS,"Morticians, Undertakers, And Funeral Directors",7,19301.43
213,PRS,Barbers,234,10063.97
214,PRS,"Hairdressers, Hairstylists, And Cosmetologists",1633,13608.3
215,PRS,Miscellaneous Personal Appearance Workers,717,12085.33
216,PRS,"Baggage Porters, Bellhops, And Concierges",166,20241.57
217,PRS,Tour And Travel Guides,74,14480.68
218,PRS,Childcare Workers,1620,7523.64
219,PRS,Personal Care Aides,1162,11551.9
220,PRS,Recreation And Fitness Workers,485,10679.32
221,PRS,Residential Advisors,45,12384.44
222,PRS,"Personal Care And Service Workers, All Other",256,11323.24
223,SAL,First,3877,33117.74
224,SAL,First,1243,43341.34
225,SAL,Cashiers,7181,9968.85
226,SAL,Counter And Rental Clerks,178,16406.52
227,SAL,Parts Salespersons,176,29207.95
228,SAL,Retail Salespersons,5914,16841.46
229,SAL,Advertising Sales Agents,134,26720.22
230,SAL,Insurance Sales Agents,458,34256.66
231,SAL,"Securities, Commodities, And Financial Services Sales",114,37434.21
232,SAL,Travel Agents,126,20621.43
233,SAL,"Sales Representatives, Services, All Other",651,36258.42
234,SAL,"Sales Representatives, Wholesale And Manufacturing",1118,41414.67
235,SAL,"Models, Demonstrators, And Product Promoters",170,4992.65
236,SAL,Real Estate Brokers And Sales Agents,955,26073.15
237,SAL,Sales Engineers,10,66800.0
238,SAL,Telemarketers,285,11397.02
239,SAL,Door,268,12910.04
240,SAL,"Sales And Related Workers, All Other",331,18674.2
241,OFF,First,1483,31504.46
242,OFF,"Switchboard Operators, Including Answering Service",59,14952.54
243,OFF,Telephone Operators,71,17909.86
244,OFF,"Communications Equipment Operators, All Other",5,23600.0
245,OFF,Bill And Account Collectors,212,23992.92
246,OFF,Billing And Posting Clerks,652,25185.87
247,OFF,"Bookkeeping, Accounting, And Auditing Clerks",1860,24755.83
248,OFF,Gaming Cage Workers,9,11488.89
249,OFF,Payroll And Timekeeping Clerks,160,27545.0
250,OFF,Procurement Clerks,22,29863.64
251,OFF,Tellers,393,20059.26
252,OFF,"Financial Clerks, All Other",85,31404.71
253,OFF,Brokerage Clerks,12,24258.33
254,OFF,"Court, Municipal, And License Clerks",138,24068.12
255,OFF,"Credit Authorizers, Checkers, And Clerks",34,30741.18
256,OFF,Customer Service Representatives,4184,18496.46
257,OFF,"Eligibility Interviewers, Government Programs",28,24110.71
258,OFF,File Clerks,433,13665.87
259,OFF,"Hotel, Motel, And Resort Desk Clerks",247,17193.44
260,OFF,"Interviewers, Except Eligibility And Loan",154,14561.3
261,OFF,"Library Assistants, Clerical",60,14143.33
262,OFF,Loan Interviewers And Clerks,102,35021.57
263,OFF,New Accounts Clerks,13,28823.08
264,OFF,Correspondence Clerks And Order Clerks,164,17143.29
265,OFF,"Human Resources Assistants, Except Payroll And",68,27852.94
266,OFF,Receptionists And Information Clerks,2009,15187.73
267,OFF,Reservation And Transportation Ticket Agents And Travel,244,26388.93
268,OFF,"Information And Record Clerks, All Other",126,20944.68
269,OFF,Cargo And Freight Agents,24,26537.5
270,OFF,Couriers And Messengers,365,20202.08
271,OFF,Dispatchers,365,29168.38
272,OFF,"Meter Readers, Utilities",50,29726.0
273,OFF,Postal Service Clerks,129,35992.48
274,OFF,Postal Service Mail Carriers,489,41997.75
275,OFF,"Postal Service Mail Sorters, Processors, And Processing",90,37188.89
276,OFF,"Production, Planning, And Expediting Clerks",275,29869.75
277,OFF,"Shipping, Receiving, And Traffic Clerks",784,22443.71
278,OFF,Stock Clerks And Order Fillers,3236,15333.8
279,OFF,"Weighers, Measurers, Checkers, And Samplers,",73,19384.93
280,OFF,Secretaries And Administrative Assistants,4670,21611.82
281,OFF,Computer Operators,115,18108.7
282,OFF,Data Entry Keyers,510,21025.88
283,OFF,Word Processors And Typists,511,19307.53
284,OFF,Insurance Claims And Policy Processing Clerks,460,27123.91
285,OFF,"Mail Clerks And Mail Machine Operators, Except Postal",118,15937.37
286,OFF,"Office Clerks, General",1871,20041.45
287,OFF,"Office Machine Operators, Except Computer",54,20524.07
288,OFF,Proofreaders And Copy Markers,6,15266.67
289,OFF,Statistical Assistants,24,21520.0
290,OFF,Miscellaneous Office And Administrative Support,541,26379.35
291,FFF,First,98,28991.84
292,FFF,Agricultural Inspectors,13,23676.92
293,FFF,"Graders And Sorters, Agricultural Products",115,10580.87
294,FFF,"Miscellaneous Agricultural Workers, Including Animal",1023,15444.8
295,FFF,Fishing And Hunting Workers,238,11090.59
296,FFF,Forest And Conservation Workers,36,8260.56
297,FFF,Logging Workers,73,23252.05
298,CON,First,1473,39012.23
299,CON,Boilermakers,13,41538.46
300,CON,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing",284,20297.54
