,occupation_field,occupation_name,non-college count,wage/salary
248,SAL,Sales Engineers,97,94826.74
249,SAL,Telemarketers,2336,14642.01
250,SAL,Door,4239,17733.28
251,SAL,"Sales And Related Workers, All Other",4447,27161.9
252,OFF,First,20762,43145.17
253,OFF,"Switchboard Operators, Including Answering Service",808,23499.92
254,OFF,Telephone Operators,985,25543.18
255,OFF,"Communications Equipment Operators, All Other",169,32455.42
256,OFF,Bill And Account Collectors,3092,29910.64
257,OFF,Billing And Posting Clerks,9331,30358.02
258,OFF,"Bookkeeping, Accounting, And Auditing Clerks",26287,32076.01
259,OFF,Gaming Cage Workers,262,23435.45
260,OFF,Payroll And Timekeeping Clerks,2970,36531.46
261,OFF,Procurement Clerks,491,45908.65
262,OFF,Tellers,7928,22895.98
263,OFF,"Financial Clerks, All Other",1267,39747.52
264,OFF,Brokerage Clerks,93,43442.59
265,OFF,"Court, Municipal, And License Clerks",1480,32974.4
266,OFF,"Credit Authorizers, Checkers, And Clerks",734,33823.44
267,OFF,Customer Service Representatives,51583,22008.77
268,OFF,"Eligibility Interviewers, Government Programs",755,37291.89
269,OFF,File Clerks,7150,18505.68
270,OFF,"Hotel, Motel, And Resort Desk Clerks",3028,17101.65
271,OFF,"Interviewers, Except Eligibility And Loan",2328,22560.4
272,OFF,"Library Assistants, Clerical",1763,14586.44
273,OFF,Loan Interviewers And Clerks,1733,39393.42
274,OFF,New Accounts Clerks,244,32090.26
275,OFF,Correspondence Clerks And Order Clerks,3584,26739.58
276,OFF,"Human Resources Assistants, Except Payroll And",906,33346.41
277,OFF,Receptionists And Information Clerks,26823,19996.54
278,OFF,Reservation And Transportation Ticket Agents And Travel,1947,32357.71
279,OFF,"Information And Record Clerks, All Other",1971,22269.71
280,OFF,Cargo And Freight Agents,406,34191.93
281,OFF,Couriers And Messengers,5770,29958.52
282,OFF,Dispatchers,5924,36562.64
283,OFF,"Meter Readers, Utilities",867,36160.66
284,OFF,Postal Service Clerks,2876,44411.29
285,OFF,Postal Service Mail Carriers,7806,47013.3
286,OFF,"Postal Service Mail Sorters, Processors, And Processing",1641,41473.86
287,OFF,"Production, Planning, And Expediting Clerks",5074,41007.78
288,OFF,"Shipping, Receiving, And Traffic Clerks",18346,28254.06
289,OFF,Stock Clerks And Order Fillers,54175,18757.92
290,OFF,"Weighers, Measurers, Checkers, And Samplers,",2479,29044.36
291,OFF,Secretaries And Administrative Assistants,71979,29955.26
292,OFF,Computer Operators,1653,32150.48
293,OFF,Data Entry Keyers,7272,25434.11
294,OFF,Word Processors And Typists,7857,26864.56
295,OFF,Insurance Claims And Policy Processing Clerks,5641,34066.49
296,OFF,"Mail Clerks And Mail Machine Operators, Except Postal",2516,22825.82
297,OFF,"Office Clerks, General",27570,25535.72
298,OFF,"Office Machine Operators, Except Computer",992,23316.59
299,OFF,Proofreaders And Copy Markers,155,23701.93
300,OFF,Statistical Assistants,356,39297.36
301,OFF,Miscellaneous Office And Administrative Support,8097,32125.4
302,FFF,First,1652,38633.63
303,FFF,Agricultural Inspectors,301,37294.91
304,FFF,"Graders And Sorters, Agricultural Products",2127,15407.94
305,FFF,"Miscellaneous Agricultural Workers, Including Animal",31231,17602.56
306,FFF,Fishing And Hunting Workers,2174,34657.65
307,FFF,Forest And Conservation Workers,548,19552.74
308,FFF,Logging Workers,3427,30401.51
309,CON,First,24924,59926.41
310,CON,Boilermakers,683,48427.68
311,CON,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing",5531,33422.89
312,CON,Carpenters,39692,33609.93
313,CON,"Carpet, Floor, And Tile Installers And Finishers",5129,29938.04
314,CON,"Cement Masons, Concrete Finishers, And Terrazzo Workers",2324,33565.3
315,CON,Construction Laborers,61370,28462.55
316,CON,"Paving, Surfacing, And Tamping Equipment Operators",613,34113.42
317,CON,"Construction Equipment Operators, Except Paving,",15896,44589.73
318,CON,"Drywall Installers, Ceiling Tile Installers, And Tapers",4656,28966.19
319,CON,Electricians,19620,45892.15
320,CON,Glaziers,1403,38081.48
321,CON,Insulation Workers,1371,37944.8
322,CON,Painters And Paperhangers,18894,27482.83
323,CON,"Pipelayers, Plumbers, Pipefitters, And Steamfitters",17798,43823.1
324,CON,Plasterers And Stucco Masons,905,31470.92
325,CON,Roofers,7531,25994.0
326,CON,Sheet Metal Workers,4245,39633.61
327,CON,Structural Iron And Steel Workers,2191,44439.05
328,CON,"Helpers, Construction Trades",1861,20556.36
329,CON,Construction And Building Inspectors,1611,47050.48
330,CON,Elevator Installers And Repairers,630,79074.69
331,CON,Fence Erectors,1072,24193.33
332,CON,Hazardous Materials Removal Workers,911,34455.83
333,CON,Highway Maintenance Workers,4766,35583.72
334,CON,Rail,419,48196.41
335,CON,"Miscellaneous Construction Workers, Including Solar",2104,32016.4
336,EXT,"Derrick, Rotary Drill, And Service Unit Operators, And",1567,61387.75
337,EXT,"Earth Drillers, Except Oil And Gas",1136,48553.73
338,EXT,"Explosives Workers, Ordnance Handling Experts, And",468,35501.43
339,EXT,Mining Machine Operators,2551,58984.14
340,EXT,"Miscellaneous Extraction Workers, Including Roof",2815,50078.94
341,RPR,First,6910,56339.44
342,RPR,"Computer, Automated Teller, And Office Machine",2499,35299.69
343,RPR,Radio And Telecommunications Equipment Installers And,3177,48026.42
344,RPR,Avionics Technicians,366,36683.9
345,RPR,"Electric Motor, Power Tool, And Related Repairers",722,42084.22
346,RPR,"Electrical And Electronics Repairers, Transportation",385,46828.22
347,RPR,"Electronic Equipment Installers And Repairers, Motor",286,33106.68
348,RPR,Electronic Home Entertainment Equipment Installers And,920,36569.15
349,RPR,Security And Fire Alarm Systems Installers,1232,41051.03
350,RPR,Aircraft Mechanics And Service Technicians,3246,47593.93
351,RPR,Automotive Body And Related Repairers,5110,39633.6
352,RPR,Automotive Glass Installers And Repairers,618,31930.18
353,RPR,Automotive Service Technicians And Mechanics,26188,35590.01
354,RPR,Bus And Truck Mechanics And Diesel Engine Specialists,9982,41632.91
355,RPR,Heavy Vehicle And Mobile Equipment Service Technicians,7174,48664.28
356,RPR,Small Engine Mechanics,1799,29958.84
357,RPR,"Miscellaneous Vehicle And Mobile Equipment Mechanics,",2792,24476.33
358,RPR,Control And Valve Installers And Repairers,556,52388.24
359,RPR,"Heating, Air Conditioning, And Refrigeration Mechanics",9873,41146.0
360,RPR,Home Appliance Repairers,1238,35599.46
361,RPR,Industrial And Refractory Machinery Mechanics,11548,46817.04
362,RPR,"Maintenance And Repair Workers, General",16265,39726.56
363,RPR,"Maintenance Workers, Machinery",997,44252.87
364,RPR,Millwrights,1690,54028.83
365,RPR,Electrical Power,3006,68238.6
366,RPR,Telecommunications Line Installers And Repairers,3472,45198.29
